id_village,village_name,id_post
uuid:3fad34c8-c56f-48b2-87f7-419a22517ff9,Celula de Nampué Nawitela,PA040501
uuid:400557ca-4f08-4f84-9ad2-43eeedde7481,Mujaua,PA040501
uuid:414be1d5-051d-4532-9f4d-8149b3cf52d1,Carico Marora,PA040501
uuid:41878e85-ed1d-492d-8e5e-583b765c102a,Murratxa Nawitela,PA040501
uuid:479728ae-bc1a-4e2e-8d9a-bd2d289cb623,Macuata,PA040501
uuid:4c420b46-ec32-47cf-8bb7-ed77dbb36cc9,Mayequessa Nawitela,PA040501
uuid:50b124ca-27b1-4f74-82db-41cff8bf53ec,Muconha A,PA040501
uuid:53e100fe-8a4e-4e6f-98a0-dff0eaba9a88,Carico Up2,PA040501
uuid:58aaf9e3-3cd2-465b-a82e-49f7e4b119cc,Mayale Nicau,PA040501
uuid:58eead08-73c3-4e4f-b9fb-4af2bd77cce0,Ehime Murrui,PA040501
uuid:61c43d07-85b4-4ace-9b84-a3666f3a722d,Curuca Murrabué,PA040501
uuid:65ad4420-2ee7-4af0-9afe-da07e91d2db8,Murrotxo Mucunha,PA040501
uuid:6aa154f0-f4d2-4187-9b62-378d2be655e7,Marrora,PA040501
uuid:73d7cb16-d645-4134-bcde-0b9277417d15,Chipe Murrabué,PA040501
uuid:7877aef5-3cdb-46a9-9078-e20c06ff6edd,Mithiko Nawitela,PA040501
uuid:7f001e63-b61e-4306-98b7-f0036f2df686,Murrui Sede,PA040501
uuid:84492aba-dadb-4c4a-8354-a0e09d1b1789,Murrabué,PA040501
uuid:8ff9953a-bea6-41b5-9ffb-9eee54ccde08,Muconha B,PA040501
uuid:96ac32f1-c010-4027-b88c-61aa8982addd,Roposso Mucunha,PA040501
uuid:a5b95427-1317-4291-a0eb-aef14c0272aa,Mayequessa Nawitela,PA040501
uuid:ab35bd4e-f437-4e51-9e56-1a5b7109fbf3,Carico Marora,PA040501
uuid:bf754405-563d-4a2a-82b8-5e99c30622d1,Mithiko,PA040501
uuid:c1325358-d9fd-4fe2-ad0b-2db340bdaca8,UP2 Alverca Carico,PA040501
uuid:cae03a75-871f-415e-870a-12bb2c77b4c2,Esapa Muturi,PA040501
uuid:d23b15c3-5fab-46bb-ac84-be611215cdff,Mirrole Mucunha,PA040501
uuid:d78f73a2-2d85-48e3-ba2d-69d8cb457026,Niwiri Mucunha,PA040501
uuid:de0526b4-e3c6-4af4-b6c8-5c26441bd239,Carico Mole,PA040501
uuid:eadda73d-a24f-4abb-a06b-1d897692e817,Murrabué sede,PA040501
uuid:ebb0db33-55e8-4473-b41d-96f3cd29ff28,Mucunha,PA040501
uuid:edffa5f8-faf9-4696-a274-96e74b125b38,Murrui,PA040501
uuid:efd07542-af4e-4a77-acdb-092acb176f00,Nantakhale Murrui,PA040501
uuid:fb753f6a-787b-4623-8a70-b2bae7c52965,Wachima Murrui,PA040501
uuid:ff9f9b82-d5c1-44fd-83a2-f4baeb7082a2,Nantoconha,PA040501
uuid:0960ac85-7d21-4a1e-9a80-a2008b0418d8,Nipauene,PA031201
uuid:101e49fa-4ff7-4ce5-aedc-c57780cafd94,Mirrepe,PA030202
uuid:15fbf9f1-bd98-496c-a5b2-801b512b3733,Siretene,PA030202
uuid:1cc29f7a-750c-4b32-a778-5237dba7a977,Mithuco,PA030202
uuid:1d0c00c6-5120-4214-a982-b5c498e61438,Mirrepe,PA030202
uuid:1d6e480e-8408-4e1a-be55-5edec1b10aa1,Nacipita,PA030202
uuid:3b35261e-44c2-4231-a54c-39481c0c298d,Namacula,PA030202
uuid:57dc1653-347a-4d47-98e5-08e0f366e08d,Puli Ezica,PA030202
uuid:5e3e4673-6bb9-4a01-856c-d4fe931495ec,Kathoa,PA031201
uuid:5f3ba5a8-0b57-4080-aec8-e4c4f557c323,Mucoroge,PA031201
uuid:659c33d2-4ce2-47a9-94a7-d3106ab70c57,Epuir,PA031201
uuid:6d699a5c-d65f-4bd3-94f4-325881893f56,Tororone,PA031201
uuid:7095b51d-c530-408f-a748-af287c6fca9f,Jatone,PA031201
uuid:8203de79-e69c-4cc7-b16f-11799325a0b6,Macocone,PA030202
uuid:537d7520-8c7a-4731-b8ab-0d30967c98ef,Wassupi Nawitela,PA040501
uuid:91a69b5b-a4a1-42b3-9f69-de1a3aa01590,Licuatancua,PA030202
uuid:a18c31ba-715e-4cd4-a3d5-5bef4b9676d0,Sirozine,PA030202
uuid:a9bf815d-e83b-46dc-a562-35470e934856,Tapua,PA031201
uuid:090c1154-5abf-4bb9-adf0-1519ac275c41,Murruma,PA040601
uuid:0b4be08d-dcce-494f-80f7-d4371ccc55d2,Mbilane,PA040601
uuid:0ec13dfc-bde2-4753-9b34-a042c4a97515,Nanhacane,PA040601
uuid:1dd465e2-2085-4807-8925-1ae44e236fca,Matumane,PA040601
uuid:2057e7ae-cbf0-4f8c-a9b1-678939b547a2,Naúme,PA040601
uuid:238b088f-4e7b-4180-8614-862fd1dfe2a9,Inroenacue,PA040601
uuid:3a930520-6289-4760-b526-06d111b864d2,Muissi,PA040601
uuid:4b36cd61-8aca-492b-8470-0fb58e5fbbde,Muarapuanha,PA040601
uuid:74e114b8-f7ee-4fe3-aac9-603a650f625a,Munhanhua Sede,PA040601
uuid:bb5dcd8a-e6ee-4228-bcaa-5caabcc545b2,Pilivili A,PA031201
uuid:c015cf94-67ac-4c64-b2c9-69629c1ba203,Mupalacue,PA030202
uuid:c06143b4-fd61-41bb-8c30-e15eb006b8a5,Comunidade de Muithua,PA030202
uuid:c692fcdb-1b35-420c-86a3-eb4d8e72ad87,Mazica,PA030202
uuid:d89b6af1-3738-4954-9271-b3af08cfc9cc,Hori,PA031201
uuid:e4876961-7da0-42d6-b63d-cdf92a2a7996,Nampeia,PA031201
uuid:74f98981-5571-4188-be9b-3ac0d1e7e454,Elope,PA040601
uuid:778da12c-6bcc-44b5-94d8-f545ee95d606,Malua,PA040601
uuid:815b7966-8084-4ec5-8e8b-32b49946bce6,Napua,PA040601
uuid:81c3adc4-be00-4e68-8b6e-3ae881ccd25e,Mazica,PA030202
uuid:8d6225b5-2662-4f1b-8619-e369c0c1a927,Murela,PA040601
uuid:911e5b54-9251-47a1-9b7d-20ccd2353206,Namaluco,PA040601
uuid:a7837753-a199-43fe-886e-4507367c47a2,Nacogolo,PA040601
uuid:ab409887-1605-44cc-91bd-ab8c89acdbc3,Nanoa,PA040601
uuid:abc94608-a547-4cca-bde6-ce3b0c375c05,Macala,PA040601
uuid:b5a69740-f0ad-4ee9-97cb-b78f283e279f,Mugulama Sede,PA040601
uuid:bbd6e8be-dca3-4d0c-a00f-303b5bfd4cfc,Mapua correia,PA040601
uuid:f09be009-e97b-42b9-941c-0c46cd6e1dc7,Muatiua,PA040601
uuid:f48cf676-a998-4702-bce1-de066e320b84,Namalapa,PA040601
